look_back|batch_size|percent
7|20|53.626943005181346
7|25|53.8860103626943
7|30|51.55440414507772
7|35|54.40414507772021
7|40|53.36787564766839
7|45|52.33160621761658
7|50|52.07253886010363
7|60|49.22279792746114
7|70|53.8860103626943
7|80|53.626943005181346
7|90|53.626943005181346
7|100|53.626943005181346
7|110|52.590673575129536
7|120|45.33678756476684
7|130|56.476683937823836
7|140|53.8860103626943
7|150|54.40414507772021
7|160|53.8860103626943
7|170|54.145077720207254
7|180|53.8860103626943
7|190|47.409326424870464
7|200|47.409326424870464
7|220|54.145077720207254
7|240|51.03626943005181
7|260|47.92746113989637
7|280|54.40414507772021
7|300|45.854922279792746
7|320|53.626943005181346
7|340|51.81347150259067
7|360|54.145077720207254
7|380|49.740932642487046
7|400|46.1139896373057
7|420|44.818652849740936
7|440|54.66321243523316
7|460|52.590673575129536
7|480|49.22279792746114
